words,count_2005,count_2006,count_2007,count_2008,count_2009,count_2010,count_2011,count_2012,count_2013,count_2014,count_2015,count_2016
improves,,1.0,1.0,,,,,,,,,1.0
oracle,,1.0,,,1.0,,,,,1.0,,2.0
clipped,,1.0,,,,,,,,,,
duality,,1.0,,1.0,,1.0,,,,,,
mutagenetic,,1.0,,,,,,,,,,
time-histogram,,1.0,,,,,,,,,,
minimizers,,1.0,,,,,,,,,,
recipe,,1.0,,,,,,,,,1.0,
chained,,1.0,,,,,,,,,,
structural,,1.0,,,4.0,4.0,4.0,,1.0,1.0,2.0,4.0
ica,,1.0,,1.0,,,1.0,1.0,,,2.0,2.0
equation,,1.0,,,,,,,2.0,1.0,,1.0
mistake,,1.0,,,,,,,,,,1.0
scoring,,1.0,,,1.0,,,,1.0,1.0,2.0,
one-inclusion,,1.0,,,,,,,,,,
be,,1.0,,1.0,1.0,,,,,1.0,,
energy-based,,1.0,,,,,,,,,,
bodies,,1.0,,,,,,,,,,
1-regularized,,1.0,,,,,,,,,,
articulated,,1.0,1.0,,,,,,,1.0,,
parse,,1.0,,,,,,1.0,,,,
attentional,,1.0,1.0,1.0,,,,,,2.0,,
k-means,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,,4.0
stability,,1.0,2.0,1.0,,1.0,,,,,1.0,
processing,,1.0,,1.0,2.0,1.0,,2.0,,,1.0,
identification,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0
spike-based,,1.0,,,,,1.0,1.0,,,,
co-occurrences,,1.0,,,,,,,,,,
expanded,,1.0,,,,,,,,,,
recombination,,1.0,,,,,,,,,,
super-resolution,,1.0,,,,,,,,,2.0,1.0
binding,,1.0,,1.0,,,,,,,,
semidefinite,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0
protein-dna,,1.0,,,,,,,,,,
game,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0
programming,,1.0,7.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0
high-dimensional,,1.0,1.0,5.0,1.0,2.0,2.0,3.0,9.0,5.0,5.0,1.0
properties,,1.0,1.0,,,,,1.0,1.0,,2.0,
road,,1.0,,,,,,,,,,
shifting,,1.0,,,1.0,,,1.0,,,,
hierarchies,,1.0,,,,1.0,1.0,,1.0,,,
annotated,,1.0,,,,,,,,,,1.0
trees,,1.0,2.0,2.0,1.0,4.0,,4.0,5.0,3.0,2.0,2.0
suffix,,1.0,,,,,,,,,,
sequential,,1.0,2.0,5.0,2.0,1.0,,2.0,3.0,4.0,4.0,4.0
measures,,1.0,1.0,4.0,1.0,,,2.0,,1.0,3.0,3.0
sparsified,,1.0,,,,,,,,,,
optimisation,,1.0,,,,,,,1.0,,,
language,,1.0,1.0,2.0,2.0,,1.0,,2.0,2.0,1.0,2.0
traffic,,1.0,,,,,,,,,,
translation,,1.0,1.0,,,,,,,,,1.0
actor-critic,,1.0,1.0,,1.0,,,,3.0,,,
complexity-distortion,,1.0,,,,,,,,,,
joint,,1.0,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0
semi-markov,,1.0,,1.0,,,,,,,,1.0
alignment,,1.0,2.0,,3.0,1.0,1.0,,1.0,2.0,,2.0
moving,,1.0,,,,,,,,,,
supervision,,1.0,,1.0,,1.0,,,,,1.0,3.0
hyperplanes,,1.0,,,,,,,,,,
comparative,,1.0,,,,,1.0,,1.0,,1.0,
least-squares,,1.0,,,2.0,1.0,,,,,,1.0
specifying,,1.0,,,,,,,,,,
technique,,1.0,,,,,2.0,,,,,
factoring,,1.0,,,,,,1.0,,1.0,,
attribute,,1.0,,,,,,1.0,,2.0,,
multicore,,1.0,,,,,,,,,,
map-reduce,,1.0,,,,,,,,,,
supported,,1.0,,,,,,,,,,
compactly,,1.0,,,,,,,,,,
regularised,,1.0,,,,,,,,,,
globally,,1.0,,,,,,1.0,,,,2.0
surfaces,,1.0,,,,1.0,,1.0,,,,
ensemble,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,2.0
event-correlation,,1.0,,,,,,,,,,
both,,1.0,,,,,,,,,1.0,
amplification,,1.0,,,,,,,,,,
documents,,1.0,,,,1.0,,,1.0,1.0,,
aspects,,1.0,,,,,,,,,,
specific,,1.0,,1.0,,1.0,,,1.0,,,
incomplete,,1.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,3.0
max-margin,,1.0,,,,,,2.0,,2.0,2.0,
observable,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,
partially,,1.0,3.0,3.0,2.0,,,2.0,,,,
balanced,,1.0,,,,,2.0,,1.0,4.0,,
histograms,,1.0,1.0,,,,,,,1.0,,
economic,,1.0,,1.0,,,,,,,,
aided,,1.0,,,,,,,,,,
computer,,1.0,,,,1.0,,1.0,,1.0,,1.0
retrieval,,1.0,,,,,1.0,2.0,2.0,1.0,1.0,1.0
multi-dynamic,,1.0,,,,,,,,,,
knowledge,,1.0,,,,,2.0,,2.0,,3.0,1.0
clusters,,1.0,,3.0,,,,1.0,,1.0,,2.0
number,,1.0,,,,,,2.0,2.0,2.0,1.0,2.0
pg-means,,1.0,,,,,,,,,,
formation,,1.0,,,,,,,,1.0,,
world,,1.0,,,,2.0,,,,,,
differential,,1.0,1.0,3.0,2.0,3.0,,2.0,1.0,3.0,1.0,2.0
small,,1.0,,,1.0,,,,,,2.0,
strategies,,1.0,1.0,,1.0,,1.0,,,2.0,1.0,1.0
single-class,,1.0,,,,,,,,,,
max-product,,1.0,1.0,,,1.0,,,,,,
manifolds,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0
traverse,,1.0,,,,,,,,,,
retinal,,1.0,,,,,,,,,1.0,1.0
gaussians,,1.0,,,,,1.0,,,,,1.0
multivariate,,1.0,,1.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0
entropic,,1.0,,,1.0,,,,,,,
hierarchy,,1.0,1.0,,1.0,,,,,1.0,1.0,
automated,,1.0,,,,,1.0,,,1.0,2.0,3.0
branch,,1.0,,,,,,,,1.0,,
face,,1.0,2.0,,1.0,,1.0,,1.0,2.0,,1.0
adaboost,,1.0,,,,,1.0,,,,,
known,,1.0,,,1.0,,,,,,,1.0
smoother,,1.0,,,,,,,,,,
sum,,1.0,,,,,,,,,,1.0
state-space,,1.0,,,,,,,1.0,2.0,,2.0
unified,,1.0,1.0,,1.0,1.0,,1.0,,1.0,4.0,4.0
subordinate,,1.0,,,,,,,,,,
preserving,,1.0,,,,,,,,,,
consistent,,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,3.0
privacy,,1.0,,,,2.0,,1.0,1.0,2.0,1.0,2.0
undiscounted,,1.0,,,,,,1.0,,,,
pls,,1.0,,,,,,,,,,
orthonormalized,,1.0,,,,,,,,,,
simultaneous,,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,,
complex,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,1.0
tighter,,1.0,,1.0,,,,1.0,,,1.0,
flight,,1.0,,,,,,,,,,
helicopter,,1.0,,,,,,,,,,
aerobatic,,1.0,,,,,,,,,,
selective,,1.0,,1.0,,1.0,2.0,1.0,,1.0,,1.0
regularisation,,1.0,,,,,,,,,,
biased,,1.0,,,,,1.0,,,,,
l1,,1.0,,,,2.0,,,,,,2.0
multinomial,,1.0,,,,,1.0,1.0,,1.0,2.0,
cost,,1.0,,,,1.0,1.0,,,1.0,1.0,
nonsmooth,,1.0,,,,,,,,1.0,1.0,2.0
rank,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,6.0,4.0,2.0
composition,,1.0,,,,,,,,,,3.0
pose,,1.0,1.0,,1.0,1.0,,,,3.0,,2.0
humans,,1.0,,,1.0,2.0,2.0,,1.0,,,
samples,,1.0,1.0,1.0,1.0,,,,1.0,,2.0,1.0
spam,,1.0,1.0,,,,,,,,,
dirichlet-enhanced,,1.0,,,,,,,,,,
deep,,1.0,3.0,1.0,4.0,3.0,3.0,10.0,13.0,23.0,20.0,43.0
layer-wise,,1.0,,,,1.0,,,,,,
eigenmaps,,1.0,1.0,,,,,,,,,
cross-subject,,1.0,,,,,,,,,,
multi--chip,,1.0,,,,,,,,,,
diagnosis,,1.0,1.0,,1.0,,,,,,1.0,
ilstd,,1.0,,,,,,,,,,
sketch-based,,1.0,,,,,,1.0,,,,
eligibility,,1.0,,,,,,,,,,
variance,,1.0,1.0,1.0,,,2.0,2.0,3.0,,3.0,3.0
vote,,1.0,,,1.0,,,1.0,,1.0,,
majority,,1.0,,,,,,,,1.0,1.0,2.0
accelerated,,1.0,,,1.0,,2.0,1.0,1.0,3.0,2.0,2.0
interfaces,,1.0,,,,,,1.0,1.0,,,
calibration,,1.0,,,1.0,,,1.0,2.0,1.0,1.0,
reducing,,1.0,,1.0,,,,1.0,,1.0,,2.0
timescales,,1.0,,,,,,,,,,
sensorimotor,,1.0,,1.0,,,,,,,,
hyperkernels,,1.0,,,,,,,,,,
wishart,,1.0,,,,,,,,,,
neuron,,1.0,1.0,,,3.0,2.0,1.0,,,,1.0
subthreshold,,1.0,,,,,,,,,,
times,,1.0,,,,,,,,,,
eukaryotic,,1.0,,,,,,,,,,
similarity-based,,1.0,,,,,1.0,,,,,
hyperparameters,,1.0,,,,1.0,,,,,,
gradient-based,,1.0,,,,,,1.0,,,,2.0
classifier,,1.0,,2.0,,2.0,2.0,,,,1.0,1.0
inducing,,1.0,,,1.0,,,,,,,
hippocampal,,1.0,1.0,1.0,,,,,,1.0,,
extended,,1.0,,2.0,,1.0,,1.0,1.0,1.0,,
ordinal,,1.0,,,,,,,,1.0,1.0,1.0
neurophysiology,,1.0,,1.0,,,,,,,,
information-theoretic,,1.0,,,1.0,,,,1.0,,1.0,
syntactic,,1.0,,1.0,,,,,,,,
optimize,,1.0,,,,,,,,1.0,,
speakers,,1.0,,,,,,,,,,
statistics,,1.0,,1.0,,1.0,1.0,,3.0,,,1.0
deblurring,,1.0,,,,,,,,1.0,,
recall,,1.0,,,1.0,,,,,,,
oscillatory,,1.0,,,,,,,,,,
across,,1.0,,1.0,,,,,1.0,,,1.0
aggregating,,1.0,,,,,,,1.0,,,
l_1-regularization,,1.0,,,,,,,,,,
decision-making,,1.0,,2.0,,,1.0,1.0,1.0,3.0,1.0,1.0
dependency,,1.0,,,,,,1.0,,,,
regulation,,1.0,,,,,1.0,,,,,
transcriptional,,1.0,,,,,,,,,,
modelling,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,,,1.0
judgements,,1.0,,,,,,,,,,
violations,,1.0,,,,,,,,,,
realization,,1.0,,,,,,,,,,
jigsaws,,1.0,,,,,,,,,,
conversion,,1.0,,,,,,,,,,
mixed,,1.0,,1.0,,,,,1.0,1.0,1.0,4.0
stratification,,1.0,,,,,,1.0,,1.0,,
graph-based,,1.0,,1.0,1.0,,,,2.0,,,
brain-computer-interfaces,,1.0,,,,,,,,,,
interest,,1.0,,,1.0,,,,1.0,,,
region,,1.0,,,,1.0,,1.0,,,2.0,1.0
labelwise,,1.0,,,,,,,,,,
two-sample-problem,,1.0,,,,,,,,,,
correspondences,,1.0,,,,1.0,,,,,,
prosthesis,,1.0,,,,,,,,,,
analog-to-digital,,1.0,,,,,,,,,,
dimensional,,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0
multi-channel,,1.0,,,,,1.0,,,,,
no-regret,,1.0,,,,,,1.0,,,1.0,
xor,,1.0,,,,,,,,,,
spaces,,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0
near-uniform,,1.0,,,,,,,,,,
planar,,1.0,,1.0,,,,,,,1.0,
priors,,1.0,,2.0,4.0,5.0,1.0,4.0,5.0,2.0,1.0,3.0
traces,,1.0,,,,,,,,,,
clouds,,1.0,,,,,1.0,,,,,
appearance,,1.0,,,1.0,,1.0,,,,,
in-network,,1.0,,,,,,,,,,
attractiveness,,1.0,,,,,,,,,,
facial,,1.0,,,,,1.0,,,,,1.0
predictor,,1.0,,,,,,,,,,
humanlike,,1.0,,,,,,,,,,
grammars,,1.0,1.0,,,1.0,,,1.0,,,
adaptor,,1.0,,,,,,,,,,
enhanced,,1.0,,,,,,,,,,
transformation,,1.0,1.0,,,,,,1.0,,1.0,
profiles,,1.0,,,,1.0,,,,,,
time-intensity,,1.0,,,,,,,,,,
signal,,1.0,,1.0,,,3.0,,,2.0,,1.0
trueskill,,1.0,1.0,,,,,,,,,
representation,,1.0,1.0,,,1.0,3.0,1.0,3.0,3.0,1.0,6.0
unlabeled,,1.0,1.0,3.0,,,2.0,,,1.0,,2.0
channel,,1.0,1.0,,1.0,,2.0,,,,,
(gem),,1.0,,,,,,,,,,
minimization,,1.0,4.0,2.0,2.0,6.0,2.0,4.0,2.0,5.0,6.0,7.0
geometric,,1.0,,,,,,3.0,2.0,,,2.0
rating,,1.0,,,,,,,,,,
skill,,1.0,,1.0,2.0,1.0,1.0,,,,,
continuous,,,4.0,4.0,4.0,2.0,3.0,5.0,4.0,6.0,3.0,3.0
stable,,,3.0,,,1.0,,2.0,1.0,,,
ranking,,,3.0,4.0,3.0,2.0,4.0,8.0,2.0,4.0,,
monte,,,3.0,2.0,2.0,,3.0,5.0,2.0,5.0,6.0,4.0
carlo,,,3.0,2.0,2.0,,3.0,5.0,2.0,5.0,6.0,4.0
incremental,,,3.0,,1.0,,,2.0,1.0,3.0,1.0,2.0
objective,,,2.0,,,,,,,,1.0,1.0
hypothesis,,,2.0,,,1.0,,,1.0,,,1.0
testing,,,2.0,,,1.0,1.0,,2.0,3.0,3.0,3.0
pomdps,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,
people,,,2.0,,1.0,,,,,,,
multiple-instance,,,2.0,,,1.0,,,,,,
catching,,,2.0,,,,,,,,,1.0
sparsity,,,2.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,,6.0
new,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
labeled,,,2.0,1.0,,,,,,,,2.0
log-linear,,,2.0,,,,1.0,,,,1.0,
generation,,,2.0,,,,,2.0,1.0,,1.0,2.0
domains,,,2.0,,2.0,1.0,,,,,,1.0
combination,,,2.0,,,,1.0,,,,,
crfs,,,2.0,,,1.0,1.0,1.0,,,,
energy,,,2.0,,3.0,1.0,,2.0,,2.0,2.0,2.0
states,,,2.0,,,,1.0,,,2.0,,
mdps,,,2.0,1.0,,1.0,1.0,,3.0,3.0,1.0,
apprenticeship,,,2.0,,,2.0,1.0,,,,,
constraint,,,2.0,,,,,,2.0,,,3.0
curve,,,2.0,1.0,,,,,,,1.0,
roc,,,2.0,1.0,,,,,,,,
invariant,,,2.0,,,1.0,,2.0,3.0,,1.0,
relaxations,,,2.0,1.0,1.0,,1.0,1.0,1.0,3.0,,2.0
relaxation,,,2.0,1.0,1.0,,,2.0,3.0,1.0,,2.0
rules,,,2.0,,2.0,,1.0,,1.0,1.0,3.0,2.0
combined,,,2.0,,,,,,,,,
relevance,,,2.0,,1.0,,,,1.0,2.0,,
family,,,2.0,2.0,1.0,3.0,1.0,2.0,3.0,,1.0,2.0
functional,,,2.0,,3.0,6.0,,1.0,,1.0,,3.0
recommendation,,,2.0,,,1.0,,,1.0,,2.0,
common,,,2.0,,,1.0,,,,,1.0,
cascade,,,2.0,,,1.0,,,,1.0,,
patterns,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,
contraction,,,1.0,,,,1.0,,,,,
web,,,1.0,,,1.0,,,,,,2.0
non-i.i.d.,,,1.0,1.0,1.0,,,,,,1.0,
competitive,,,1.0,,,,,,,,1.0,1.0
experience-guided,,,1.0,,,,,,,,,
improve,,,1.0,,,1.0,,,,1.0,,1.0
twinned,,,1.0,,,,,,,,,
fitc,,,1.0,,,,,,,,,
biologically,,,1.0,1.0,1.0,1.0,,,,,1.0,
estimates,,,1.0,,,,,,1.0,,1.0,
direct,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,1.0
divergence,,,1.0,,,,,,1.0,,,2.0
functionals,,,1.0,,1.0,,,,1.0,,,
estimators,,,1.0,,1.0,,,1.0,2.0,2.0,2.0,2.0
principle,,,1.0,,,1.0,,,,,,
executed,,,1.0,,,,,,,,,
pointsets,,,1.0,,,,,,,,,
attributed,,,1.0,,,,,,,,,
part-of-speech,,,1.0,,,1.0,,,,,,
bilingual,,,1.0,,,,,,,1.0,,
exploration,,,1.0,1.0,,2.0,1.0,3.0,3.0,2.0,1.0,6.0
tagging,,,1.0,,,,,,,,,1.0
directed,,,1.0,,2.0,,1.0,,1.0,,1.0,2.0
csps,,,1.0,,,,,,,,,
configuration,,,1.0,,,,,,,,,
cpr,,,1.0,,,,,,,,,
jump,,,1.0,,,,1.0,,,,,
heterogeneous,,,1.0,,1.0,,,1.0,,,,1.0
word,,,1.0,,,2.0,1.0,,1.0,3.0,,3.0
classify,,,1.0,,,,,,,,,
penalized,,,1.0,,,1.0,,,1.0,,,
ratio,,,1.0,2.0,,2.0,,,1.0,,,1.0
meteorological,,,1.0,,,,,,,,,
experience,,,1.0,1.0,,1.0,,,,,,
matrix-variate,,,1.0,,,,1.0,,,,,
multitask,,,1.0,,1.0,1.0,1.0,,1.0,2.0,,
repositories,,,1.0,,,,,,,,,
cofi,,,1.0,,,,,,,,,
software,,,1.0,,,1.0,,,,,,
internet-scale,,,1.0,,,,,,,,,
l1-norm,,,1.0,,,,,,,,,
dereverberation,,,1.0,,,,,,,,,
agreement-based,,,1.0,,,,,,,,,
low-dimensions,,,1.0,,,,,,,,,
near-optimal,,,1.0,1.0,,1.0,,2.0,3.0,3.0,1.0,1.0
t,,,1.0,,,,,,,,,
dual,,,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,3.0,4.0
mcrank,,,1.0,,,,,,,,,
way,,,1.0,1.0,,1.0,,1.0,,,,
third,,,1.0,1.0,,,,,,,,
maximizing,,,1.0,1.0,,,,1.0,,,,4.0
contributions,,,1.0,,,,,,,,,
compressed,,,1.0,1.0,4.0,1.0,,1.0,1.0,,1.0,
indefinite,,,1.0,,1.0,,,,,,,
learned,,,1.0,1.0,,,,1.0,,,,1.0
locality,,,1.0,,,,,,,,,
radars,,,1.0,,,,,,,,,
evaluations,,,1.0,,,,,,,,,
primitives,,,1.0,1.0,,1.0,,,1.0,,,
pedestrian,,,1.0,,,,,,,1.0,,
basic,,,1.0,,,,,,,,,
kolmogorov,,,1.0,,,,,,,,,
sounds,,,1.0,,1.0,1.0,,1.0,,,,
spike-triggering,,,1.0,,,,,,,,,
bayes-nets,,,1.0,,,,,,,,,
collaborative,,,1.0,,,1.0,1.0,4.0,,1.0,1.0,3.0
modulation,,,1.0,,,,,,,1.0,,
congruence,,,1.0,,,,,,,,,
lda-based,,,1.0,,,,,,,,,
reveals,,,1.0,,,,,,,,,
game-theoretic,,,1.0,,1.0,,,,,,,
penalization,,,1.0,,,,,1.0,,,,
receding,,,1.0,,,,,,,,,
cause,,,1.0,,,1.0,,,,,,
horizon,,,1.0,,,,,,,,,
co-training,,,1.0,,,,1.0,,,,,
migration,,,1.0,,,,,,,,,
bird,,,1.0,,,,,,,,,
collective,,,1.0,,,,1.0,,,,,
agglomerative,,,1.0,,,,,,,,,
coalescents,,,1.0,,,,,,,,,
spike-timing-dependent,,,1.0,,,,1.0,,1.0,,,
examples,,,1.0,,,2.0,1.0,,,,,1.0
when,,,1.0,1.0,1.0,,,,4.0,,2.0,1.0
bethe,,,1.0,,1.0,,,2.0,,1.0,,
loop,,,1.0,,,,,,,,,
model-based,,,1.0,,1.0,,1.0,2.0,,2.0,1.0,
determination,,,1.0,,,,,,,1.0,,
conditioned,,,1.0,,,,,,,,,
coherence,,,1.0,,,,1.0,,,,,
importance,,,1.0,,1.0,2.0,,,,2.0,1.0,1.0
routing,,,1.0,,,,,,,,,
in-silico,,,1.0,,,,,,,,,
polytope,,,1.0,,,,,,1.0,2.0,,
marginal,,,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0
outer,,,1.0,,,,,,,,,
unfolding,,,1.0,,,,2.0,,,,,
length,,,1.0,1.0,,,,,,,,
dynamically,,,1.0,,,,,,,,,
colored,,,1.0,,,,,,,,,
bundle,,,1.0,,,,,,,,,
(micl),,,1.0,,,,,,,,,
universum,,,1.0,,,,,,,,,
imperfect,,,1.0,,,,,,,,,1.0
counts,,,1.0,1.0,,,,,1.0,,,1.0
unique,,,1.0,,,,,,,,,
optimistic,,,1.0,,,,1.0,1.0,4.0,1.0,,2.0
gives,,,1.0,,,,,,,,,
bayes-adaptive,,,1.0,,,,,1.0,,1.0,,
grift,,,1.0,,,,,,,,,
index,,,1.0,,,,1.0,,,,2.0,
concordance,,,1.0,,,,,,,,,
survival,,,1.0,,,,1.0,,,,,1.0
hm-bitam,,,1.0,,,,,,,,,
irreducible,,,1.0,,,,,,,,,
additive,,,1.0,1.0,3.0,,2.0,,1.0,2.0,,1.0
semantic,,,1.0,1.0,2.0,1.0,3.0,4.0,,2.0,1.0,
retrieved,,,1.0,,,,,,,,,
internet,,,1.0,,1.0,,,1.0,,,,
gamma-poisson,,,1.0,,,,,,,,,
populations,,,1.0,,,1.0,2.0,,1.0,1.0,,
observed,,,1.0,1.0,1.0,,,,1.0,,,
characterization,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,
attractive,,,1.0,,,,,,,1.0,,
events,,,1.0,2.0,,1.0,,,,,,
critical,,,1.0,1.0,,,,,,,,
signatures,,,1.0,,,,,,,,,1.0
exponential,,,1.0,2.0,1.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0
heuristic,,,1.0,,,,,,,,,
performance,,,1.0,5.0,,1.0,2.0,,,2.0,,
consumption,,,1.0,,,,,,,,,
linear-nonlinear,,,1.0,,,,1.0,,,,,
comparison,,,1.0,,2.0,,1.0,4.0,,,1.0,1.0
noisy-logical,,,1.0,,,,,,,,,
finite,,,1.0,,,,2.0,2.0,2.0,1.0,1.0,5.0
cluster,,,1.0,,,1.0,,,1.0,,,2.0
max-weight,,,1.0,,,,,,,,,
loopy,,,1.0,,1.0,1.0,,,,,,
hdp,,,1.0,,,,,,,,,
chain,,,1.0,,1.0,1.0,2.0,,1.0,1.0,2.0,2.0
invariances,,,1.0,,1.0,,,,,,,
managing,,,1.0,,,,,,,,,
pruning,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0
covariance,,,1.0,1.0,,3.0,3.0,4.0,3.0,4.0,2.0,2.0
detectors,,,1.0,,,,,1.0,,1.0,,
learn,,,1.0,,1.0,1.0,2.0,,2.0,1.0,1.0,3.0
nets,,,1.0,,1.0,,,,,2.0,1.0,3.0
malaria,,,1.0,,,,,,,,,
reward-modulated,,,1.0,,1.0,,,,,,,
estimate,,,1.0,,,,,,,,,
quantiles,,,1.0,,,,,,,,,
median,,,1.0,,,,,,,1.0,,1.0
second,,,1.0,,,,,,,,2.0,1.0
order,,,1.0,,1.0,,,,1.0,1.0,2.0,2.0
bilinear,,,1.0,,2.0,,,,,,,
hebbian,,,1.0,2.0,1.0,,,,,,,
performs,,,1.0,,,,,,1.0,,,
firing,,,1.0,,,1.0,,1.0,1.0,,,
can,,,1.0,1.0,1.0,1.0,,,1.0,,,2.0
mrfs,,,1.0,,,1.0,,,,1.0,1.0,
survey,,,1.0,,,,,,,,,
relaxed,,,1.0,,,1.0,,,,,1.0,
cooled,,,1.0,,,,,,,,,
and/or,,,1.0,,,,,,,,1.0,
boost,,,1.0,,,,,1.0,,,,
junction,,,1.0,,,,,,,,,
thin,,,1.0,,,,,,,,,
principled,,,1.0,,,,,,,,,
eeg-based,,,1.0,,1.0,,,,,,,
discrete,,,1.0,,2.0,,2.0,5.0,2.0,3.0,5.0,2.0
peri-stimulus,,,1.0,,,,,,,,,
generating,,,1.0,,,2.0,,,,,,4.0
realistic,,,1.0,2.0,,1.0,,,,,,
lip,,,1.0,,,,,,,,,
preference,,,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0
choice,,,1.0,2.0,2.0,1.0,,3.0,,2.0,,2.0
revisiting,,,1.0,,,,,,,,,
up,,,1.0,,1.0,,,,2.0,,1.0,
anytime,,,1.0,,,,,,,1.0,1.0,
induction,,,1.0,2.0,1.0,1.0,,1.0,,,,
cost-sensitive,,,1.0,,,,,1.0,,1.0,,
alternatives,,,1.0,,,,,,,,,1.0
beats,,,1.0,,,,,,,,,1.0
binning,,,1.0,,,,,,,,,
tags,,,1.0,,,,,,,,,
rat,,,1.0,,,,,,,,,
agnostic,,,1.0,,2.0,1.0,1.0,,,1.0,1.0,1.0
bandit,,,1.0,,,2.0,3.0,1.0,5.0,3.0,1.0,6.0
price,,,1.0,,,,,,,,1.0,1.0
chess,,,1.0,,,,,,,,,
history,,,1.0,,,,1.0,,,,,
forecasting,,,1.0,,,1.0,,1.0,,,1.0,2.0
multisensory,,,1.0,1.0,,,,,1.0,,,1.0
mandatory,,,1.0,,,,,1.0,,,,
overcompleteness,,,1.0,,,,,,,,,
near-maximum,,,1.0,,,,,,,,,
computers,,,1.0,,,,,1.0,,,,
alleviating,,,1.0,,,,,,,,,
nonstationarities,,,1.0,,,,,,,,,
supervised,,,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,10.0
one-pass,,,1.0,,,,,,,,,1.0
flexible,,,1.0,,,,1.0,,1.0,2.0,,3.0
diffrac,,,1.0,,,,,,,,,
suboptimal,,,1.0,,,,,,,,,
deviation,,,1.0,,,,,,1.0,,,
progressive,,,1.0,,,,,,,,,
action-space,,,1.0,,,,,,,,,
q-iteration,,,1.0,1.0,,,,,,,,
fitted,,,1.0,1.0,,,1.0,,,,,
protein,,,1.0,1.0,,,,1.0,,,,1.0
rosetta,,,1.0,,,,,,,,,
distances,,,1.0,,,,2.0,,1.0,,1.0,
parallelizing,,,1.0,,,,1.0,,,,1.0,
subgraph,,,1.0,,,1.0,,,,,,
low-level,,,1.0,,,,,,,,,
gaze,,,1.0,,,,,,,,,
subspace-based,,,1.0,1.0,,,,,,,,
clicks,,,1.0,,,,,,,,,
relationship,,,1.0,1.0,,,,,1.0,,,
engines,,,1.0,,,,,,,,,
evaluating,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0
keyword,,,1.0,,,,,,,,,
implementing,,,1.0,,,,,,,,,
simplified,,,1.0,1.0,,,,,,,,
datasets,,,1.0,1.0,,,1.0,,1.0,,,1.0
filterboost,,,1.0,,,,,,,,,
accurate,,,1.0,,1.0,,1.0,,,,3.0,1.0
tradeoffs,,,1.0,,,,,2.0,,1.0,,3.0
train,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,
v2,,,1.0,,,,,,,,,
easy,,,1.0,,,,,,,1.0,2.0,
permutations,,,1.0,,,,,,,1.0,,
updating,,,1.0,,1.0,,,,,,,
similarly,,,1.0,,,,,,,,,
tree-averaged,,,1.0,,,,,,,,,
assumptions,,,1.0,,,,,,,,,
counter-strategies,,,1.0,,,,,,,,,
minor-excluded,,,1.0,,,,,,,,,
conic,,,1.0,,,1.0,,,,,,1.0
privacy-preserving,,,1.0,1.0,,,,,,,,
pomdp,,,1.0,,,1.0,1.0,,1.0,,,
some,,,1.0,,,1.0,,,,,1.0,
makes,,,1.0,,,,,,,,,1.0
what,,,1.0,,1.0,,,,2.0,,,2.0
transformations,,,1.0,,,,,,,,1.0,1.0
monotonic,,,1.0,1.0,,,,,,,1.0,3.0
summations,,,1.0,1.0,,,,,,,,
ultrafast,,,1.0,,,,,,,,,
mcmc,,,1.0,1.0,,,2.0,2.0,1.0,,5.0,4.0
trans-dimensional,,,1.0,,,,,,,,,
symmetric,,,1.0,,2.0,,,4.0,,1.0,2.0,2.0
homophily,,,1.0,,,,,,,,,
